Country,Confirmed,Recovered,Dead
<strong>Italy</strong>,41035,4440,3405
<strong>Spain</strong>,19980,1558,1002
<strong>Iran</strong>,19644,5979,1433
<strong>Germany</strong>,17653,180,47
<strong>America</strong>,14514,125,213
<strong>France</strong>,10995,1300,372
<strong>Korea</strong>,8652,2233,100
<strong>Switzerland</strong>,4176,3,43
<strong>UK</strong>,3297,65,145
<strong>Netherlands</strong>,2994,0,106
