Country,Confirmed,Recovered,Dead
China,81603,72842,3276
Outside China,249007,25063,11285
<strong>Italy</strong>,59138,7024,5476
<strong>America</strong>,29235,178,371
<strong>Spain</strong>,28768,2575,1772
<strong>Germany</strong>,24873,266,94
<strong>Iran</strong>,21638,7913,1685
<strong>France</strong>,16018,1760,674
<strong>Korea</strong>,8961,3166,111
<strong>Switzerland</strong>,7245,3,98
<strong>UK</strong>,5683,93,281
<strong>Netherlands</strong>,4204,0,179
