Country,Confirmed,Recovered,Dead
China,81748,73299,3283
Outside China,306971,28319,13779
<strong>Italy</strong>,63927,7432,6077
<strong>America</strong>,46455,178,610
<strong>Spain</strong>,39673,3355,2696
<strong>Germany</strong>,30138,453,130
<strong>Iran</strong>,24811,8913,1934
<strong>France</strong>,19856,1760,860
<strong>Korea</strong>,9037,3507,120
<strong>Switzerland</strong>,8836,131,83
<strong>UK</strong>,6650,93,336
<strong>Netherlands</strong>,4749,0,213
